traceId,time,lng,lat,sunlit,shadowPercent,bucketStart,bucketEnd,source,cloudCover,sunlightFactor,sunlitEffective,shadowPercentEffective,solarIrradianceWm2,irradianceEffective,durationSeconds,sunlightSeconds,shadowSeconds,irradianceJ
1,2021-11-19T01:23:47.000Z,114.1292576,22.2823689,0,100,2021-11-19T01:23:00.000Z,2021-11-19T01:24:00.000Z,engine,0.6533203125,0.444677734375,0,100,,,33,0,33,
1,2021-11-19T01:24:20.000Z,114.1292576,22.2823689,0,100,2021-11-19T01:24:00.000Z,2021-11-19T01:25:00.000Z,engine,0.6533203125,0.444677734375,0,100,,,66,0,66,
1,2021-11-19T01:25:26.000Z,114.1292576,22.2823689,0,100,2021-11-19T01:25:00.000Z,2021-11-19T01:26:00.000Z,engine,0.6533203125,0.444677734375,0,100,,,66,0,66,
1,2021-11-19T01:26:32.000Z,114.1292576,22.2823689,0,100,2021-11-19T01:26:00.000Z,2021-11-19T01:27:00.000Z,engine,0.6533203125,0.444677734375,0,100,,,300,0,300,
1,2021-11-19T01:42:43.000Z,114.1292576,22.2823689,0,100,2021-11-19T01:42:00.000Z,2021-11-19T01:43:00.000Z,engine,0.6533203125,0.444677734375,0,100,,,50,0,50,
1,2021-11-19T01:43:33.000Z,114.1292576,22.2823689,0,100,2021-11-19T01:43:00.000Z,2021-11-19T01:44:00.000Z,engine,0.6533203125,0.444677734375,0,100,,,60,0,60,
1,2021-11-19T01:44:33.000Z,114.1292576,22.2823689,0,100,2021-11-19T01:44:00.000Z,2021-11-19T01:45:00.000Z,engine,0.6533203125,0.444677734375,0,100,,,60,0,60,
1,2021-11-19T01:45:33.000Z,114.1292576,22.2823689,0,100,2021-11-19T01:45:00.000Z,2021-11-19T01:46:00.000Z,engine,0.6533203125,0.444677734375,0,100,,,60,0,60,
1,2021-11-19T01:46:33.000Z,114.1292576,22.2823689,0,100,2021-11-19T01:46:00.000Z,2021-11-19T01:47:00.000Z,engine,0.6533203125,0.444677734375,0,100,,,60,0,60,
1,2021-11-19T01:47:33.000Z,114.1292576,22.2823689,0,100,2021-11-19T01:47:00.000Z,2021-11-19T01:48:00.000Z,engine,0.6533203125,0.444677734375,0,100,,,60,0,60,
1,2021-11-19T01:48:33.000Z,114.1292576,22.2823689,0,100,2021-11-19T01:48:00.000Z,2021-11-19T01:49:00.000Z,engine,0.6533203125,0.444677734375,0,100,,,61,0,61,
1,2021-11-19T01:49:34.000Z,114.1292576,22.2823689,0,100,2021-11-19T01:49:00.000Z,2021-11-19T01:50:00.000Z,engine,0.6533203125,0.444677734375,0,100,,,60,0,60,
1,2021-11-19T01:50:34.000Z,114.1292576,22.2823689,0,100,2021-11-19T01:50:00.000Z,2021-11-19T01:51:00.000Z,engine,0.6533203125,0.444677734375,0,100,,,60,0,60,
1,2021-11-19T01:51:34.000Z,114.1292576,22.2823689,0,100,2021-11-19T01:51:00.000Z,2021-11-19T01:52:00.000Z,engine,0.6533203125,0.444677734375,0,100,,,60,0,60,
1,2021-11-19T01:52:34.000Z,114.1292576,22.2823689,0,100,2021-11-19T01:52:00.000Z,2021-11-19T01:53:00.000Z,engine,0.6533203125,0.444677734375,0,100,,,60,0,60,
1,2021-11-19T01:53:34.000Z,114.1292576,22.2823689,0,100,2021-11-19T01:53:00.000Z,2021-11-19T01:54:00.000Z,engine,0.6533203125,0.444677734375,0,100,,,60,0,60,
1,2021-11-19T01:54:34.000Z,114.1292576,22.2823689,0,100,2021-11-19T01:54:00.000Z,2021-11-19T01:55:00.000Z,engine,0.6533203125,0.444677734375,0,100,,,60,0,60,
1,2021-11-19T01:55:34.000Z,114.1292576,22.2823689,0,100,2021-11-19T01:55:00.000Z,2021-11-19T01:56:00.000Z,engine,0.6533203125,0.444677734375,0,100,,,60,0,60,
1,2021-11-19T01:56:34.000Z,114.1292576,22.2823689,0,100,2021-11-19T01:56:00.000Z,2021-11-19T01:57:00.000Z,engine,0.6533203125,0.444677734375,0,100,,,60,0,60,
1,2021-11-19T01:57:34.000Z,114.1292576,22.2823689,0,100,2021-11-19T01:57:00.000Z,2021-11-19T01:58:00.000Z,engine,0.6533203125,0.444677734375,0,100,,,60,0,60,
1,2021-11-19T01:58:34.000Z,114.1292576,22.2823689,0,100,2021-11-19T01:58:00.000Z,2021-11-19T01:59:00.000Z,engine,0.6533203125,0.444677734375,0,100,,,60,0,60,
