timestamp,gpx_lon,gpx_lat,gps_lon,gps_lat,air_lon,air_lat,fnl_lon,fnl_lat,type_mask,mlt_mask,date,stay_point_x,stay_point_y,stay_status,move_id,outlier,time_minute,time_hour,time_date
1637288251.0,,,114.1292576,22.2823689,,,114.1292576,22.2823689,log,sing,19,114.129452968714,22.282355397402668,1.0,1,1.0,17.0,10.0,19.0
1637288312.0,,,114.1292576,22.2823689,,,114.1292576,22.2823689,log,sing,19,114.129452968714,22.282355397402668,1.0,1,1.0,18.0,10.0,19.0
1637288372.0,,,114.1292576,22.2823689,,,114.1292576,22.2823689,log,sing,19,114.129452968714,22.282355397402668,1.0,1,1.0,19.0,10.0,19.0
1637288432.0,,,114.1292576,22.2823689,,,114.1292576,22.2823689,log,sing,19,114.129452968714,22.282355397402668,1.0,1,1.0,20.0,10.0,19.0
1637288492.0,,,114.1292576,22.2823689,,,114.1292576,22.2823689,log,sing,19,114.129452968714,22.282355397402668,1.0,1,1.0,21.0,10.0,19.0
1637288553.0,,,114.1292576,22.2823689,,,114.1292576,22.2823689,log,sing,19,114.129452968714,22.282355397402668,1.0,1,1.0,22.0,10.0,19.0
1637288613.0,,,114.1292576,22.2823689,,,114.1292576,22.2823689,log,sing,19,114.129452968714,22.282355397402668,1.0,1,1.0,23.0,10.0,19.0
1637288673.0,,,114.1292576,22.2823689,,,114.1292576,22.2823689,log,sing,19,114.129452968714,22.282355397402668,1.0,1,1.0,24.0,10.0,19.0
1637288733.0,,,114.1292576,22.2823689,,,114.1292576,22.2823689,log,sing,19,114.129452968714,22.282355397402668,1.0,1,1.0,25.0,10.0,19.0
1637288797.0,,,114.1292576,22.2823689,,,114.1292576,22.2823689,log,sing,19,114.129452968714,22.282355397402668,1.0,1,1.0,26.0,10.0,19.0
1637288857.0,,,114.1292576,22.2823689,,,114.1292576,22.2823689,log,sing,19,114.129452968714,22.282355397402668,1.0,1,1.0,27.0,10.0,19.0
1637288917.0,,,114.1292576,22.2823689,,,114.1292576,22.2823689,log,sing,19,114.129452968714,22.282355397402668,1.0,1,1.0,28.0,10.0,19.0
1637288977.0,,,114.1292576,22.2823689,,,114.1292576,22.2823689,log,sing,19,114.129452968714,22.282355397402668,1.0,1,1.0,29.0,10.0,19.0
1637289031.0,,,114.1292576,22.2823689,,,114.1292576,22.2823689,log,sing,19,114.129452968714,22.282355397402668,1.0,1,1.0,30.0,10.0,19.0
1637289092.0,,,114.1292576,22.2823689,,,114.1292576,22.2823689,log,sing,19,114.129452968714,22.282355397402668,1.0,1,1.0,31.0,10.0,19.0
1637289152.0,,,114.1292576,22.2823689,,,114.1292576,22.2823689,log,sing,19,114.129452968714,22.282355397402668,1.0,1,1.0,32.0,10.0,19.0
1637289212.0,,,114.1292576,22.2823689,,,114.1292576,22.2823689,log,sing,19,114.129452968714,22.282355397402668,1.0,1,1.0,33.0,10.0,19.0
1637289272.0,,,114.1292576,22.2823689,,,114.1292576,22.2823689,log,sing,19,114.129452968714,22.282355397402668,1.0,1,1.0,34.0,10.0,19.0
1637289332.0,,,114.1292576,22.2823689,,,114.1292576,22.2823689,log,sing,19,114.129452968714,22.282355397402668,1.0,1,1.0,35.0,10.0,19.0
1637289392.0,,,114.1292576,22.2823689,,,114.1292576,22.2823689,log,sing,19,114.129452968714,22.282355397402668,1.0,1,1.0,36.0,10.0,19.0
1637289452.0,,,114.1292576,22.2823689,,,114.1292576,22.2823689,log,sing,19,,,0.0,2,1.0,37.0,10.0,19.0
1637289512.0,,,114.1292576,22.2823689,,,114.1292576,22.2823689,log,sing,19,,,0.0,2,1.0,38.0,10.0,19.0
1637289572.0,,,114.1292576,22.2823689,,,114.1292576,22.2823689,log,sing,19,,,0.0,2,1.0,39.0,10.0,19.0
1637289632.0,,,114.1292576,22.2823689,,,114.1292576,22.2823689,log,sing,19,,,0.0,2,1.0,40.0,10.0,19.0
1637289692.0,,,114.1292576,22.2823689,,,114.1292576,22.2823689,log,sing,19,,,0.0,2,1.0,41.0,10.0,19.0
1637289752.0,,,114.1292576,22.2823689,,,114.1292576,22.2823689,log,sing,19,,,0.0,2,1.0,42.0,10.0,19.0
1637289806.0,,,114.1292576,22.2823689,,,114.1292576,22.2823689,log,sing,19,,,0.0,2,1.0,43.0,10.0,19.0
1637289866.0,,,114.1285145,22.2821368,,,114.1285145,22.2821368,log,sing,19,,,0.0,2,1.0,44.0,10.0,19.0
1637289926.0,,,114.1285145,22.2821368,,,114.1285145,22.2821368,log,sing,19,,,0.0,2,1.0,45.0,10.0,19.0
1637289986.0,,,114.1285145,22.2821368,,,114.1285145,22.2821368,log,sing,19,,,0.0,2,1.0,46.0,10.0,19.0
1637290026.0,,,114.1285145,22.2810902,,,114.1285145,22.2810902,log,sing,19,,,0.0,2,-1.0,47.0,10.0,19.0
1637290107.0,,,114.130744,22.2817864,,,114.130744,22.2817864,log,sing,19,,,0.0,2,1.0,48.0,10.0,19.0
1637290167.0,,,114.130744,22.2817864,,,114.130744,22.2817864,log,sing,19,,,0.0,2,1.0,49.0,10.0,19.0
1637290227.0,,,114.130744,22.2817864,,,114.130744,22.2817864,log,sing,19,,,0.0,2,1.0,50.0,10.0,19.0
1637290287.0,,,114.130744,22.2817864,,,114.130744,22.2817864,log,sing,19,,,0.0,2,1.0,51.0,10.0,19.0
1637290348.0,,,114.130744,22.2817864,,,114.130744,22.2817864,log,sing,19,,,0.0,2,1.0,52.0,10.0,19.0
1637290409.0,,,114.130744,22.2817864,,,114.130744,22.2817864,log,sing,19,,,0.0,2,1.0,53.0,10.0,19.0
1637290469.0,,,114.130744,22.2817864,,,114.130744,22.2817864,log,sing,19,,,0.0,2,1.0,54.0,10.0,19.0
1637290529.0,,,114.1288861,22.2806829,,,114.1288861,22.2806829,log,sing,19,,,0.0,2,1.0,55.0,10.0,19.0
1637290590.0,,,114.1288861,22.2806829,,,114.1288861,22.2806829,log,sing,19,,,0.0,2,1.0,56.0,10.0,19.0
1637290650.0,,,114.1288861,22.2806829,,,114.1288861,22.2806829,log,sing,19,,,0.0,2,1.0,57.0,10.0,19.0
1637290710.0,,,114.130744,22.2817864,,,114.130744,22.2817864,log,sing,19,,,0.0,2,1.0,58.0,10.0,19.0
1637290770.0,,,114.1288861,22.2806829,,,114.1288861,22.2806829,log,sing,19,,,0.0,2,1.0,59.0,10.0,19.0
1637290823.0,,,114.130744,22.2817864,,,114.130744,22.2817864,log,sing,19,,,0.0,2,1.0,0.0,11.0,19.0
1637290884.0,,,114.130744,22.2817864,,,114.130744,22.2817864,log,sing,19,,,0.0,2,1.0,1.0,11.0,19.0
1637290944.0,,,114.130744,22.2817864,,,114.130744,22.2817864,log,sing,19,,,0.0,2,1.0,2.0,11.0,19.0
1637291004.0,,,114.1288861,22.2806829,,,114.1288861,22.2806829,log,sing,19,,,0.0,2,1.0,3.0,11.0,19.0
1637291064.0,,,114.1288861,22.2806829,,,114.1288861,22.2806829,log,sing,19,,,0.0,2,1.0,4.0,11.0,19.0
1637291124.0,,,114.1288861,22.2806829,,,114.1288861,22.2806829,log,sing,19,,,0.0,2,1.0,5.0,11.0,19.0
1637291184.0,,,114.1288861,22.2806829,,,114.1288861,22.2806829,log,sing,19,,,0.0,2,1.0,6.0,11.0,19.0
1637291244.0,,,114.1288861,22.2806829,,,114.1288861,22.2806829,log,sing,19,,,0.0,2,1.0,7.0,11.0,19.0
1637291304.0,,,114.1288861,22.2806829,,,114.1288861,22.2806829,log,sing,19,,,0.0,2,1.0,8.0,11.0,19.0
1637291364.0,,,114.130744,22.2817864,,,114.130744,22.2817864,log,sing,19,,,0.0,2,1.0,9.0,11.0,19.0
1637291424.0,,,114.130744,22.2817864,,,114.130744,22.2817864,log,sing,19,,,0.0,2,1.0,10.0,11.0,19.0
1637291484.0,,,114.130744,22.2817864,,,114.130744,22.2817864,log,sing,19,,,0.0,2,1.0,11.0,11.0,19.0
1637291544.0,,,114.130744,22.2817864,,,114.130744,22.2817864,log,sing,19,,,0.0,2,1.0,12.0,11.0,19.0
1637291604.0,,,114.1288861,22.2806829,,,114.1288861,22.2806829,log,sing,19,,,0.0,2,1.0,13.0,11.0,19.0
1637291664.0,,,114.1288861,22.2814975,,,114.1288861,22.2814975,log,sing,19,,,0.0,2,1.0,14.0,11.0,19.0
1637291724.0,,,114.1288861,22.2806829,,,114.1288861,22.2806829,log,sing,19,,,0.0,2,1.0,15.0,11.0,19.0
1637291785.0,,,114.1288861,22.2806829,,,114.1288861,22.2806829,log,sing,19,114.12962920000004,22.27986840000001,0.0,2,1.0,16.0,11.0,19.0
1637291845.0,,,114.1296292,22.2798684,,,114.1296292,22.2798684,log,sing,19,114.12962920000004,22.27986840000001,2.0,3,1.0,17.0,11.0,19.0
1637291905.0,,,114.1296292,22.2798684,,,114.1296292,22.2798684,log,sing,19,114.12962920000004,22.27986840000001,2.0,3,1.0,18.0,11.0,19.0
1637291965.0,,,114.1296292,22.2798684,,,114.1296292,22.2798684,log,sing,19,114.12962920000004,22.27986840000001,2.0,3,1.0,19.0,11.0,19.0
1637292025.0,,,114.1296292,22.2798684,,,114.1296292,22.2798684,log,sing,19,114.12962920000004,22.27986840000001,2.0,3,1.0,20.0,11.0,19.0
1637292085.0,,,114.1296292,22.2798684,,,114.1296292,22.2798684,log,sing,19,114.12962920000004,22.27986840000001,2.0,3,1.0,21.0,11.0,19.0
1637292145.0,,,114.1296292,22.2798684,,,114.1296292,22.2798684,log,sing,19,114.12962920000004,22.27986840000001,2.0,3,1.0,22.0,11.0,19.0
1637292205.0,,,114.1296292,22.2798684,,,114.1296292,22.2798684,log,sing,19,114.12962920000004,22.27986840000001,2.0,3,1.0,23.0,11.0,19.0
1637292265.0,,,114.1296292,22.2798684,,,114.1296292,22.2798684,log,sing,19,114.12962920000004,22.27986840000001,2.0,3,1.0,24.0,11.0,19.0
1637292325.0,,,114.1296292,22.2798684,,,114.1296292,22.2798684,log,sing,19,114.12962920000004,22.27986840000001,2.0,3,1.0,25.0,11.0,19.0
1637292385.0,,,114.1296292,22.2798684,,,114.1296292,22.2798684,log,sing,19,114.12962920000004,22.27986840000001,2.0,3,1.0,26.0,11.0,19.0
1637292445.0,,,114.1296292,22.2798684,,,114.1296292,22.2798684,log,sing,19,114.12962920000004,22.27986840000001,2.0,3,1.0,27.0,11.0,19.0
1637292505.0,,,114.1296292,22.2798684,,,114.1296292,22.2798684,log,sing,19,114.12962920000004,22.27986840000001,2.0,3,1.0,28.0,11.0,19.0
1637292565.0,,,114.1296292,22.2798684,,,114.1296292,22.2798684,log,sing,19,114.12962920000004,22.27986840000001,2.0,3,1.0,29.0,11.0,19.0
1637292625.0,,,114.1296292,22.2798684,,,114.1296292,22.2798684,log,sing,19,114.12962920000004,22.27986840000001,2.0,3,1.0,30.0,11.0,19.0
1637292685.0,,,114.1296292,22.2798684,,,114.1296292,22.2798684,log,sing,19,114.12962920000004,22.27986840000001,2.0,3,1.0,31.0,11.0,19.0
1637292746.0,,,114.1296292,22.2798684,,,114.1296292,22.2798684,log,sing,19,114.12962920000004,22.27986840000001,2.0,3,1.0,32.0,11.0,19.0
1637292806.0,,,114.1296292,22.2798684,,,114.1296292,22.2798684,log,sing,19,114.12962920000004,22.27986840000001,2.0,3,1.0,33.0,11.0,19.0
1637292866.0,,,114.1296292,22.2798684,,,114.1296292,22.2798684,log,sing,19,114.12962920000004,22.27986840000001,2.0,3,1.0,34.0,11.0,19.0
1637292926.0,,,114.1296292,22.2798684,,,114.1296292,22.2798684,log,sing,19,114.12962920000004,22.27986840000001,2.0,3,1.0,35.0,11.0,19.0
1637292986.0,,,114.1296292,22.2798684,,,114.1296292,22.2798684,log,sing,19,114.12962920000004,22.27986840000001,2.0,3,1.0,36.0,11.0,19.0
1637293046.0,,,114.1296292,22.2798684,,,114.1296292,22.2798684,log,sing,19,114.12962920000004,22.27986840000001,2.0,3,1.0,37.0,11.0,19.0
1637293106.0,,,114.1296292,22.2798684,,,114.1296292,22.2798684,log,sing,19,114.12962920000004,22.27986840000001,2.0,3,1.0,38.0,11.0,19.0
1637293166.0,,,114.1296292,22.2798684,,,114.1296292,22.2798684,log,sing,19,114.12962920000004,22.27986840000001,2.0,3,1.0,39.0,11.0,19.0
1637293226.0,,,114.1296292,22.2798684,,,114.1296292,22.2798684,log,sing,19,114.12962920000004,22.27986840000001,2.0,3,1.0,40.0,11.0,19.0
1637293286.0,,,114.1296292,22.2798684,,,114.1296292,22.2798684,log,sing,19,114.12962920000004,22.27986840000001,2.0,3,1.0,41.0,11.0,19.0
1637293346.0,,,114.1296292,22.2798684,,,114.1296292,22.2798684,log,sing,19,114.12962920000004,22.27986840000001,2.0,3,1.0,42.0,11.0,19.0
1637293406.0,,,114.1296292,22.2798684,,,114.1296292,22.2798684,log,sing,19,114.12962920000004,22.27986840000001,2.0,3,1.0,43.0,11.0,19.0
